DANE_COD,AREA_ACADEMICA,GRADO,LOGRO_POSITIVO,LOGRO_NEGATIVO
219212000339,PENSAMIENTO MATEMATICO,8,"Identifica los números racionales y concepto de energía, calcula perímetro y área de figuras planas, reconoce objetos sólidos y utiliza expresiones algebraicas para resolver situaciones del tul. ","Se le dificulta identificar los números racionales y concepto de energía, además de calcular perímetro y área de figuras planas, objetos sólidos y expresiones algebraicas para resolver situaciones del tul. "
219212000339,PENSAMIENTO MATEMATICO,9,"Identifica concepto de energía eólica y resuelve operaciones con los números racionales en situaciones problemas, determina el volumen de objetos sólidos, además tabula datos y los representa mediante una función lineal para resolver situaciones del contexto. ","Se le dificulta reconocer el concepto de energía eólica y resolver operaciones con los números racionales en situaciones problemas, además de determinar el volumen de objetos sólidos, tabular datos y los representarlos en una función lineal para resolver situaciones del contexto."
219212000339,PENSAMIENTO MATEMATICO,10,"Identifica concepto de energía eólica, corriente continua y movimiento circular, resuelve operaciones con los números racionales e irracionales en situaciones problemas, halla el perímetro, área y el volumen de objetos sólidos, además representa datos estadísticos en una función lineal para la resolución de situaciones problemas. ","Se le dificulta reconocer el concepto de energía eólica, corriente continua movimiento circular, resolver operaciones con los números racionales e irracionales en situaciones problemas, además de hallar el perímetro, área y el volumen de objetos sólidos y representar datos estadísticos en una función lineal para resolución de situaciones problemas. "
219212000339,PENSAMIENTO MATEMATICO,11,"Reconoce el concepto de energía hidráulica y eólica, corriente continua y movimiento circular, resuelve operaciones con los números reales en situaciones problemas, calcula perímetro, área y el volumen en objetos sólidos, además realizar conversiones y representa e interpreta datos estadísticos en una función lineal para resolver situaciones problemas. ","Se le dificulta reconocer el concepto de energía hidráulica y eólica, corriente continua y movimiento circular, resolver operaciones con los números reales en situaciones problemas, calcular perímetro, área y el volumen en objetos sólidos, además de realizar conversiones y representar e interpretar datos estadísticos en una función lineal para la resolución de situaciones problemas."
219212000339,COMUNIDAD Y PARTICIPACION,3,"Reconoce, valora e identifica la importancia del territorio y se ubica en el espacio ",Tiene dificultades para reconocer la importancia del territorio y su ubicación espacial.
219212000339,COMUNIDAD Y PARTICIPACION,4,"Reconoce, valora e identifica la importancia del territorio y se ubica en el departamento","Presenta dificultad para reconocer, valorar e identificar la importancia del territorio y ubicarse en el departamento."
219212000339,COMUNIDAD Y PARTICIPACION,5,"Reconoce, valora e identifica la importancia del territorio y se ubica en el país","Presenta dificultad para reconocer, valorar e identificar la importancia del territorio y ubicarse en el país."
219212000339,COMUNIDAD Y PARTICIPACION,6,"Reconoce, valora e identifica la importancia del territorio originario y se ubica en sur América.","Tiene dificultad para reconocer, valorar e identificar la importancia del territorio originario y se ubicarse en sur América."
219212000339,COMUNIDAD Y PARTICIPACION,7,"Reconoce, valora e identifica la importancia del territorio originario y se ubica en América.","Presenta dificultad para reconocer, valorar e identificar la importancia del territorio originario y se ubica en América."
219212000339,COMUNIDAD Y PARTICIPACION,8,"Reconoce, valora e identifica la importancia del territorio originario y fortalece la conciencia espacial.","Tiene dificultad para reconocer, valorar e identificar la importancia del territorio originario y conciencia espacial."
219212000339,COMUNIDAD Y PARTICIPACION,9,"Reconoce, valora e identifica la importancia del territorio originario y fortalece sus conocimientos para comprender el desarrollo sociocultural, político y económico de la comunidad.","Se le dificulta reconocer, valorar e identificar la importancia del territorio originario y fortalecer sus conocimientos para comprender el desarrollo sociocultural, político y económico de la comunidad."
219212000339,COMUNIDAD Y PARTICIPACION,10,"Reconoce, valora e identifica la importancia del territorio originario y fortalece sus conocimientos para comprender el desarrollo sociocultural, político y económico de la comunidad.","Se le dificulta reconocer, valorar e identificar la importancia del territorio originario y fortalecer sus conocimientos para comprender el desarrollo sociocultural, político y económico de la comunidad."
219212000339,COMUNIDAD Y PARTICIPACION,11,"Experimenta y argumenta la importancia o valor de la protección del territorio originario para el desarrollo sociocultural, político y económico de la comunidad.","Se le dificulta reconocer, experimentar, argumentar la importancia o valor de la protección del territorio originario para el desarrollo sociocultural, político y económico de la comunidad."
219212000339,BIENESTAR Y CULTURA,0,Reconoce e identifica las partes de su cuerpo cuidándolo y valorándolo.,No muestra interés por cuidar  y  valorar  las partes de  su cuerpo
219212000339,BIENESTAR Y CULTURA,1,Participa libremente  realizando  movimientos  en  diferentes direcciones y mantiene el equilibrio de su cuerpo.,Se  le dificulta realizar movimientos en diferentes direcciones 
219212000339,BIENESTAR Y CULTURA,2,Practica  ejercicios de  saltos  con  y  sin  elementos en  diferentes direcciones., Muestra falencias para realizar ejercicios  de  saltos  con  y  sin elementos en  diferentes  direcciones 
219212000339,BIENESTAR Y CULTURA,3,"Demuestra destreza en  el desarrollo de actividades con  distintos  elementos, fomentando la convivencia a través del juego.",No  participa activamente   el desarrollo de actividades conllevando  a desequilibrar  la armonía  y convivencia  en  el  juego.
